Ticker, Name, %Assets
NEM,Newmont Corporation,12.44%
GOLD,Barrick Gold Corporation,10.44%
FNV,Franco-Nevada Corporation,6.37%
WPM,Wheaton Precious Metals Corp,4.94%
AEM,Agnico Eagle Mines Limited,4.91%
NCM,Newcrest Mining Limited,4.83%
KL,Kirkland Lake Gold Ltd.,4.32%
AU,AngloGold Ashanti Limited Sponsored ADR,3.40%
KGC,Kinross Gold Corporation,3.28%
GFI,Gold Fields Limited Sponsored ADR,2.96%
RGLD,Royal Gold Inc., 2.59%
NST,Northern Star Resources Ltd,2.50%
PAAS,Pan American Silver Corp.,2.44%
EVN,Evolution Mining Limited,2.33%

